Zona	Denominação	Localização	MACROZONA
130	Guarulhos	Externa	Externa
131	Belo Horizonte	Externa	Externa
132	Sapucaí	Externa	Externa
133	Mogi das Cruzes	Externa	Externa
134	São Caetano do Sul	Externa	Externa
135	São Bernardo do Campo	Externa	Externa
136	Porto Feliz	Externa	Externa
137	Diadema	Externa	Externa
138	Santo André	Externa	Externa
139	Santos	Externa	Externa
140	Ilha Bela	Externa	Externa
141	Monte Negro - RS	Externa	Externa
142	Cubatão	Externa	Externa
143	Carapicuiba	Externa	Externa
144	Tatui	Externa	Externa
145	Volta Redonda	Externa	Externa
146	Sorocaba	Externa	Externa
147	Tremembé	Externa	Externa
148	Salesopolis	Externa	Externa
149	Itaquaquecetuba	Externa	Externa
150	Sta Cruz do Rio Pardo	Externa	Externa
151	Barueri 	Externa	Externa
152	Suzano	Externa	Externa
153	São Bento do Sapucai	Externa	Externa
154	Santa Branca	Externa	Externa
155	Registro	Externa	Externa
156	Formiga	Externa	Externa
157	Poá	Externa	Externa
158	Igaratá	Externa	Externa
159	São Sebastião	Externa	Externa
160	Itapeva	Externa	Externa
161	Pouso Alegre	Externa	Externa
162	Aruja	Externa	Externa
163	Taboão da Serra	Externa	Externa
164	Guarujá	Externa	Externa
165	Angra do Reis	Externa	Externa
166	Mauá	Externa	Externa
167	Ribeirão Preto	Externa	Externa
168	Nova Odessa 	Externa	Externa
169	Goiania	Externa	Externa
170	Bragança Paulista	Externa	Externa
171	Sergipe	Externa	Externa
172	Extrema	Externa	Externa
173	Jandira	Externa	Externa
174	Santa Catarina	Externa	Externa
175	Caxias do Sul	Externa	Externa
176	Mogi Guaçu	Externa	Externa
177	Bahia	Externa	Externa
178	Praia Grande	Externa	Externa
179	Guará	Externa	Externa
180	Votorantim	Externa	Externa
181	Conchal	Externa	Externa
182	Ibitinga	Externa	Externa
183	Belém	Externa	Externa
184	Santa Catarina	Externa	Externa
185	Piracicaba	Externa	Externa
186	Birigui	Externa	Externa
187	Osasco	Externa	Externa
188	Curitiba	Externa	Externa
189	Itapevi	Externa	Externa
190	Arthur Nogueira	Externa	Externa
191	Embu das Artes	Externa	Externa
192	Ourinhos	Externa	Externa
193	Amparo	Externa	Externa
194	São Vicente	Externa	Externa
195	Ribeirão Pires	Externa	Externa
196	Caraguá	Externa	Externa
197	Vargem Grande Paulista	Externa	Externa
198	Santa Isabel	Externa	Externa
199	Porto Alegre	Externa	Externa
200	Biritiba Mirim	Externa	Externa
201	Igaraçu do Tiete	Externa	Externa
202	Engenho de Melo	Externa	Externa
203	Mariporá	Externa	Externa
204	São Simão	Externa	Externa
205	Araraquara	Externa	Externa
206	Lençois Paulista	Externa	Externa
207	Indaiatuba	Externa	Externa
208	Paraná	Externa	Externa
209	Cunha	Externa	Externa
210	Serra Negra	Externa	Externa
211	Limeira 	Externa	Externa
212	Itajubá	Externa	Externa
213	Caieira	Externa	Externa
214	Itapira	Externa	Externa
215	Mato Grosso do Sul	Externa	Externa
216	Sumaré	Externa	Externa
217	Rio Claro	Externa	Externa
218	Pedra Bela	Externa	Externa
219	Guarantã	Externa	Externa
220	Pinhalzinho	Externa	Externa
221	Colombia	Externa	Externa
222	Conchas	Externa	Externa
223	Três Cachoeira	Externa	Externa
224	Orlandia	Externa	Externa
225	Itatiba	Externa	Externa
226	Minas Gerais	Externa	Externa
227	Cajamar	Externa	Externa
1001	São Luis Do Paraitinga	Externa	Externa
1002	Botucatu	Externa	Externa
1003	Pernambuco	Externa	Externa
1004	São Carlos	Externa	Externa
