CHAVE DOM	ZONA	DOMIC	NUM_FAM	TIPO_IMÓVEL	Nº_CÔMODOS	ESGOTO	AGUA	CONSUMO	RADIO	TV	MAQ_LAV	GELADEIR	CELULAR	TEL_FIXO	MICRO	MICRO_IN	MOTO	AUTO	QTE_FAM	TIPO_DOM	COND_MOR	TMP_CID	TMP_DOM	FAT_EXP DOM		
1-113-1	01	113	1	Apartamento	5	Rede pública	Rede pública	75	1	1	1	1	3	1	0	1	0	2	1	Particular	Própria	15	7	49,73		
1-114-1	01	114	1	Apartamento	3	Rede pública	Rede pública	46	1	2	1	1	1	1	1	1	0	0	1	Particular	Própria	40	4	49,73		
1-115-1	01	115	1	Apartamento	3	Rede pública	Rede pública	30	0	1	0	1	2	0	1	1	1	0	1	Particular	Alugada	4	4	49,73		
1-116-1	01	116	1	Apartamento	5	Rede pública	Rede pública	120	3	3	1	1	3	1	1	1	0	1	1	Particular	Própria	21	3	49,73		
1-117-1	01	117	1	Apartamento	4	Rede pública	Rede pública	54	0	1	0	1	1	1	1	1	0	0	1	Particular	Alugada	2	2	49,73		
1-118-1	01	118	1	Apartamento	1	Rede pública	Rede pública	50	0	1	0	1	1	0	1	1	0	0	1	Particular	Alugada	1	1	49,73		
1-124-1	01	124	1	Casa de alvenaria	5	Rede pública	Rede pública	60	0	3	1	1	1	1	1	0	0	2	1	Particular	Própria	65	49	49,73		
1-125-1	01	125	1	Apartamento	4	Rede pública	Rede pública	134	3	3	1	1	3	1	2	2	0	3	1	Particular	Própria	25	3	49,73		
1-128-1	01	128	1	Apartamento	11	Rede pública	Rede pública	220	1	5	1	1	4	2	3	1	0	3	1	Particular	Própria	73	27	49,73		
1-138-1	01	138	1	Apartamento	6	Rede pública	Rede pública	200	0	2	1	1	0	1	1	1	0	1	1	Particular	Própria	25	10	49,73		
1-147-1	01	147	1	Apartamento	7	Rede pública	Rede pública	70	1	2	1	1	4	1	1	1	0	1	1	Particular	Própria	24	20	49,73		
1-149-1	01	149	1	Apartamento	10	Rede pública	Rede pública	170	1	2	1	1	3	1	1	1	0	1	1	Particular	Própria	48	17	49,73		
1-152-1	01	152	1	Apartamento	10	Rede pública	Rede pública	70	0	2	1	1	1	1	1	1	0	1	1	Particular	Própria	12	8	49,73		
1-153-1	01	153	1	Casa de alvenaria	5	Rede pública	Rede pública	150	1	3	1	1	1	1	1	1	0	1	1	Particular	Própria	55	30	49,73		
1-156-1	01	156	1	Casa de alvenaria	3	Rede pública	Rede pública	50	2	2	1	1	4	1	1	1	1	1	1	Particular	Alugada	39	2	49,73		
1-163-1	01	163	1	Apartamento	7	Rede pública	Rede pública	80	2	2	1	1	2	1	1	1	0	1	1	Particular	Própria	8	8	49,73		
1-171-1	01	171	1	Apartamento	9	Rede pública	Rede pública	200	1	1	1	1	1	1	1	1	0	1	1	Particular	Própria	43	34	49,73		
1-173-1	01	173	1	Apartamento	2	Rede pública	Rede pública	120	1	1	1	1	1	1	1	1	0	1	1	Particular	Própria	31	5	49,73		
2-1-1	02	001	1	Casa de alvenaria	7	Rede pública	Rede pública	160	2	2	1	1	1	1	3	3	0	1	1	Particular	Alugada	35	8	44,60		
2-2-1	02	002	1	Casa de alvenaria	3	Rede pública	Rede pública	60	1	1	1	1	2	0	0	0	0	1	1	Particular	Alugada	10	2	44,60		
2-3-1	02	003	1	Casa de alvenaria	6	Rede pública	Rede pública	30	1	1	1	1	0	1	0	0	0	0	1	Particular	Própria	63	50	44,60		
2-4-1	02	004	1	Casa de alvenaria	9	Rede pública	Rede pública	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	1	Particular	Própria	30	15	44,60		
2-5-1	02	005	1	Casa de alvenaria	5	Rede pública	Rede pública	127	5	3	1	1	2	0	1	1	0	2	1	Particular	Própria	75	30	44,60		
2-6-1	02	006	1	Casa de alvenaria	5	Rede pública	Rede pública	110	4	1	1	1	3	1	1	1	0	2	1	Particular	Própria	43	12	44,60		
2-7-1	02	007	1	Casa de alvenaria	7	Rede pública	Rede pública	150	1	2	1	1	1	1	1	1	0	1	1	Particular	Própria	69	69	44,60		
2-9-1	02	009	1	Casa de alvenaria	5	Rede pública	Rede pública	10	1	1	1	1	0	0	0	0	0	0	1	Particular	Própria	59	59	44,60		
2-10-1	02	010	1	Casa de alvenaria	7	Rede pública	Rede pública	54	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	1	Particular	Própria	50	30	44,60		
2-11-1	02	011	1	Casa de alvenaria	6	Rede pública	Rede pública	NI	1	2	1	1	3	1	0	0	0	1	1	Particular	Própria	34	34	44,60		
2-12-1	02	012	1	Apartamento	8	Rede pública	Rede pública	120	1	1	1	1	2	1	1	1	0	2	1	Particular	Própria	50	16	44,60		
2-16-1	02	016	1	Casa de alvenaria	3	Rede pública	Rede pública	70	2	2	1	1	3	1	1	1	0	0	1	Particular	Própria	49	49	44,60		
2-18-1	02	018	1	Apartamento	5	Rede pública	Rede pública	58	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	1	Particular	Alugada	11	6	44,60		
2-19-1	02	019	1	Casa de alvenaria	4	Rede pública	Rede pública	79	3	1	0	1	2	0	0	0	0	0	1	Particular	Própria	20	6	44,60		
2-20-1	02	020	1	Casa de alvenaria	7	Rede pública	Rede pública	130	2	3	1	1	3	2	2	1	0	1	1	Particular	Alugada	34	34	44,60		
2-21-1	02	021	1	Casa de alvenaria	6	Rede pública	Rede pública	126	1	3	1	1	2	1	1	1	0	1	1	Particular	Própria	65	60	44,60		
2-22-1	02	022	1	Casa de alvenaria	8	Rede pública	Rede pública	135	1	3	1	2	4	1	2	1	0	1	3	Particular	Própria	33	9	44,60		
2-22-2	02	022	2	Casa de alvenaria	8	Rede pública	Rede pública	135	1	3	1	2	4	1	2	1	0	1	3	Particular	Própria	29	9	44,60		
2-22-3	02	022	3	Casa de alvenaria	8	Rede pública	Rede pública	135	1	3	1	2	4	1	2	1	0	1	3	Particular	Própria	29	9	44,60		
2-23-1	02	023	1	Casa de alvenaria	4	Rede pública	Rede pública	68	2	2	1	1	3	0	1	1	1	1	1	Particular	Alugada	12	4	44,60		
2-25-1	02	025	1	Casa de alvenaria	9	Rede pública	Rede pública	140	1	3	1	1	4	1	1	1	0	1	1	Particular	Própria	27	26	44,60		
2-26-1	02	026	1	Casa de alvenaria	7	Rede pública	Rede pública	69	1	1	1	1	0	1	1	1	0	0	1	Particular	Própria	50	30	44,60		
2-27-1	02	027	1	Casa de alvenaria	6	Rede pública	Rede pública	180	1	1	1	1	1	1	1	1	0	0	1	Particular	Alugada	56	10	44,60		
2-28-1	02	028	1	Casa de alvenaria	6	Rede pública	Rede pública	60	1	1	1	1	0	1	1	1	0	1	1	Particular	Própria	85	57	44,60		
2-32-1	02	032	1	Casa de alvenaria	12	Rede pública	Rede pública	120	2	2	1	2	1	1	1	1	0	2	1	Particular	Própria	50	47	44,60		
2-33-1	02	033	1	Casa de alvenaria	5	Rede pública	Rede pública	35	0	1	1	1	4	1	2	2	1	1	1	Particular	Alugada	25	1	44,60		
2-35-1	02	035	1	Casa de alvenaria	4	Rede pública	Rede pública	76	1	3	1	1	1	1	1	1	0	1	1	Particular	Própria	49	18	44,60		
2-36-1	02	036	1	Casa de alvenaria	6	Rede pública	Rede pública	40	1	1	1	1	1	1	1	1	0	0	1	Particular	Própria	60	50	44,60		
2-38-1	02	038	1	Casa de alvenaria	7	Rede pública	Rede pública	28	1	2	1	1	0	1	0	0	0	1	1	Particular	Própria	64	23	44,60		
2-39-1	02	039	1	Casa de alvenaria	7	Rede pública	Rede pública	40	1	1	1	1	0	1	0	0	1	0	1	Particular	Própria	60	60	44,60		
2-40-1	02	040	1	Casa de alvenaria	5	Rede pública	Rede pública	150	1	1	1	1	1	1	1	1	0	1	1	Particular	Alugada	20	6	44,60		
2-41-1	02	041	1	Casa de alvenaria	4	Rede pública	Rede pública	NI	1	2	1	1	1	1	1	1	0	0	1	Particular	Alugada	15	12	44,60		
2-44-1	02	044	1	Casa de alvenaria	6	Rede pública	Rede pública	26	1	1	1	1	1	1	0	0	0	1	1	Particular	Própria	32	28	44,60		
2-45-1	02	045	1	Casa de alvenaria	5	Rede pública	Rede pública	50	1	1	1	1	1	1	1	1	1	1	1	Particular	Alugada	2	2	44,60		
2-48-1	02	048	1	Casa de alvenaria	3	Rede pública	Rede pública	30	1	1	1	1	1	1	0	0	0	1	1	Particular	Própria	46	8	44,60		
2-49-1	02	049	1	Casa de alvenaria	8	Rede pública	Rede pública	10	2	4	1	3	4	1	1	1	0	2	1	Particular	Própria	76	15	44,60		
2-52-1	02	052	1	Casa de alvenaria	2	Rede pública	Rede pública	84	1	1	0	1	0	0	0	0	0	0	1	Particular	Própria	71	64	44,60		
2-54-1	02	054	1	Casa de alvenaria	8	Rede pública	Rede pública	50	1	1	1	1	1	1	0	0	0	0	1	Particular	Própria	81	47	44,60		
2-57-1	02	057	1	Apartamento	1	Rede pública	Rede pública	260	1	1	0	1	0	0	0	0	0	0	1	Coletivo	Alugada	2	2	44,60		
2-61-1	02	061	1	Casa de alvenaria	7	Rede pública	Rede pública	110	2	2	1	1	3	1	2	2	0	2	1	Particular	Própria	46	8	44,60		
2-62-1	02	062	1	Casa de alvenaria	6	Rede pública	Rede pública	130	2	2	1	1	3	1	2	2	0	2	1	Particular	Própria	25	20	44,60		
2-63-1	02	063	1	Apartamento	5	Rede pública	Rede pública	27	1	1	1	1	1	1	0	0	0	1	1	Particular	Própria	32	32	44,60		
2-64-1	02	064	1	Casa de alvenaria	3	Rede pública	Rede pública	25	0	1	0	1	1	1	0	0	0	1	1	Particular	Própria	83	60	44,60		
2-65-1	02	065	1	Casa de alvenaria	4	Rede pública	Rede pública	60	0	2	1	1	1	1	1	1	0	1	1	Particular	Própria	53	20	44,60		
2-66-1	02	066	1	Casa de alvenaria	5	Rede pública	Rede pública	20	1	1	0	1	1	1	0	0	0	1	1	Particular	Própria	26	10	44,60		
2-67-1	02	067	1	Casa de alvenaria	7	Rede pública	Rede pública	130	1	2	1	1	3	1	1	1	0	2	1	Particular	Própria	22	13	44,60		
2-68-1	02	068	1	Casa de alvenaria	7	Rede pública	Rede pública	120	1	2	1	1	1	1	0	0	1	2	1	Particular	Própria	40	11	44,60		
2-69-1	02	069	1	Casa de alvenaria	5	Rede pública	Rede pública	170	2	3	1	1	4	1	2	2	0	2	1	Particular	Própria	47	22	44,60		
2-71-1	02	071	1	Apartamento	7	Rede pública	Rede pública	70	0	2	1	1	2	1	2	1	0	1	1	Particular	Própria	39	4	44,60		
2-72-1	02	072	1	Casa de alvenaria	5	Rede pública	Rede pública	152	1	1	1	1	3	1	1	1	0	1	1	Particular	Própria	40	10	44,60		
2-73-1	02	073	1	Casa de alvenaria	6	Rede pública	Rede pública	50	2	1	1	1	1	1	0	0	0	1	1	Particular	Própria	18	4	44,60		
2-75-1	02	075	1	Casa de alvenaria	5	Rede pública	Rede pública	60	0	2	1	1	3	0	1	1	0	1	1	Particular	Própria	40	40	44,60		
2-77-1	02	077	1	Apartamento	8	Rede pública	Rede pública	NI	3	3	1	1	4	1	1	2	0	1	1	Particular	Própria	1	0	44,60		
2-78-1	02	078	1	Casa de alvenaria	6	Rede pública	Rede pública	60	1	1	1	1	2	1	4	4	0	1	1	Particular	Alugada	38	5	44,60		
2-79-1	02	079	1	Casa de alvenaria	7	Rede pública	Rede pública	27	0	1	1	1	2	0	1	0	0	1	1	Particular	Alugada	3	3	44,60		
2-81-1	02	081	1	Apartamento	7	Rede pública	Rede pública	50	1	1	1	1	1	1	1	1	0	1	1	Particular	Alugada	25	2	44,60		
2-83-1	02	083	1	Casa de alvenaria	6	Rede pública	Rede pública	150	1	2	1	1	4	1	2	2	0	1	1	Particular	Própria	61	40	44,60		
2-87-1	02	087	1	Apartamento	5	Rede pública	Rede pública	65	1	1	1	1	3	0	1	1	0	1	1	Particular	Alugada	6	6	44,60		
2-90-1	02	090	1	Casa de alvenaria	6	Rede pública	Rede pública	45	1	1	1	1	1	1	1	1	0	1	1	Particular	Própria	50	50	44,60		
2-91-1	02	091	1	Casa de alvenaria	8	Rede pública	Rede pública	80	1	4	2	2	3	0	1	0	0	0	1	Particular	Própria	46	9	44,60		
2-94-1	02	094	1	Casa de alvenaria	5	Rede pública	Rede pública	70	1	1	1	1	1	1	0	0	0	1	1	Particular	Própria	40	28	44,60		
2-98-1	02	098	1	Casa de alvenaria	5	Rede pública	Rede pública	165	1	2	1	1	2	1	0	1	1	1	1	Particular	Própria	32	32	44,60		
2-100-1	02	100	1	Casa de alvenaria	7	Rede pública	Rede pública	147	1	1	1	1	0	1	0	0	0	0	1	Particular	Própria	62	48	44,60		
2-101-1	02	101	1	Casa de alvenaria	5	Rede pública	Rede pública	79	1	1	1	1	1	0	0	0	0	0	1	Particular	Própria	52	52	44,60		
2-102-1	02	102	1	Apartamento	3	Rede pública	Rede pública	50	0	1	1	1	2	1	0	1	1	1	1	Particular	Alugada	8	5	44,60		
2-103-1	02	103	1	Casa de alvenaria	8	Rede pública	Rede pública	180	1	2	1	1	4	1	0	1	0	2	1	Particular	Própria	21	6	44,60		
2-106-1	02	106	1	Apartamento	5	Rede pública	Rede pública	78	1	2	1	1	2	1	1	0	0	1	1	Particular	Própria	64	1	44,60		
2-109-1	02	109	1	Apartamento	5	Rede pública	Rede pública	52	2	2	0	1	2	0	1	1	1	0	1	Particular	Própria	37	37	44,60		
2-112-1	02	112	1	Apartamento	2	Rede pública	Rede pública	NI	1	1	1	1	2	1	0	0	0	1	1	Particular	Alugada	71	1	44,60		
2-115-1	02	115	1	Casa de alvenaria	8	Rede pública	Rede pública	NI	0	3	1	1	1	2	1	1	0	0	1	Particular	Própria	40	10	44,60		
2-116-1	02	116	1	Casa de alvenaria	8	Rede pública	Rede pública	240	3	3	1	1	4	1	1	1	0	2	1	Particular	Alugada	33	14	44,60		
2-119-1	02	119	1	Casa de alvenaria	6	Rede pública	Rede pública	102	2	3	1	1	4	1	1	1	0	2	1	Particular	Própria	50	30	44,60		
2-120-1	02	120	1	Casa de alvenaria	5	Rede pública	Rede pública	NI	2	1	0	1	1	0	0	0	0	0	1	Particular	Cedida	10	10	44,60		
2-122-1	02	122	1	Casa de alvenaria	10	Rede pública	Rede pública	90	1	3	1	1	4	1	2	2	0	1	1	Particular	Própria	39	35	44,60		
2-123-1	02	123	1	Casa de alvenaria	5	Rede pública	Rede pública	100	1	2	1	1	3	1	2	1	0	1	1	Particular	Própria	37	4	44,60		
2-125-1	02	125	1	Casa de alvenaria	4	Rede pública	Rede pública	30	1	2	1	1	3	0	1	1	0	1	1	Particular	Alugada	35	3	44,60		
2-126-1	02	126	1	Casa de alvenaria	6	Rede pública	Rede pública	90	0	1	0	1	1	1	1	1	0	0	1	Particular	Própria	41	39	44,60		
2-127-1	02	127	1	Casa de alvenaria	1	Rede pública	Rede pública	27	1	1	0	1	0	0	0	0	0	0	1	Particular	Alugada	40	12	44,60		
2-128-1	02	128	1	Casa de alvenaria	6	Rede pública	Rede pública	200	1	1	1	1	1	1	1	1	1	1	1	Particular	Própria	34	34	44,60		
2-131-1	02	131	1	Casa de alvenaria	6	Rede pública	Rede pública	140	1	1	1	0	1	0	1	1	0	1	1	Particular	Própria	32	32	44,60		
2-132-1	02	132	1	Casa de alvenaria	4	Rede pública	Rede pública	80	1	3	1	1	8	0	1	1	0	1	1	Particular	Própria	38	14	44,60		
2-135-1	02	135	1	Casa de alvenaria	6	Rede pública	Rede pública	80	1	1	1	1	1	1	1	1	0	1	1	Particular	Própria	78	54	44,60		
2-141-1	02	141	1	Casa de alvenaria	6	Rede pública	Rede pública	107	1	1	1	1	1	1	0	0	0	1	1	Particular	Própria	2	2	44,60		
2-172-1	02	172	1	Apartamento	8	Rede pública	Rede pública	147	1	4	1	2	3	0	0	0	1	0	1	Particular	Própria	46	3	44,60		
2-174-1	02	174	1	Casa de alvenaria	2	Rede pública	Rede pública	85	1	2	1	1	1	0	0	0	0	0	1	Particular	Própria	79	79	44,60		
3-1-1	03	001	1	Casa de alvenaria	9	Rede pública	Rede pública	280	1	1	1	1	2	0	0	0	0	1	1	Particular	Própria	21	21	31,80		
3-2-1	03	002	1	Casa de alvenaria	3	Rede pública	Rede pública	50	2	2	1	1	4	1	1	1	1	1	1	Particular	Alugada	39	2	31,80		
3-3-1	03	003	1	Casa de alvenaria	4	Rede pública	Rede pública	40	1	1	0	1	0	0	0	0	0	0	1	Particular	Alugada	35	8	31,80		
3-4-1	03	004	1	Casa de alvenaria	5	Rede pública	Rede pública	80	1	1	1	1	0	1	0	0	0	1	1	Particular	Própria	50	32	31,80		
3-6-1	03	006	1	Casa de alvenaria	6	Rede pública	Rede pública	NI	3	2	1	1	1	1	0	0	0	1	1	Particular	Própria	56	51	31,80		
3-7-1	03	007	1	Casa de alvenaria	5	Rede pública	Rede pública	61	1	1	1	1	1	1	0	0	0	0	1	Particular	Própria	50	38	31,80		
3-10-1	03	010	1	Casa de alvenaria	5	Rede pública	Rede pública	150	1	1	1	1	1	1	1	1	0	1	1	Particular	Própria	23	2	31,80		
3-11-1	03	011	1	Casa de alvenaria	7	Rede pública	Rede pública	120	2	3	2	2	1	1	2	2	0	1	1	Particular	Própria	32	32	31,80		
3-12-1	03	012	1	Casa de alvenaria	8	Rede pública	Rede pública	60	1	3	1	1	5	0	3	3	1	2	1	Particular	Própria	3	3	31,80		
3-13-1	03	013	1	Casa de alvenaria	10	Rede pública	Rede pública	100	1	1	0	1	4	0	0	0	1	1	1	Coletivo	Alugada	20	8	31,80		
3-15-1	03	015	1	Casa de alvenaria	2	Rede pública	Rede pública	76	1	1	1	1	2	1	0	0	0	1	1	Particular	Própria	26	26	31,80		
3-17-1	03	017	1	Casa de alvenaria	5	Rede pública	Rede pública	100	1	1	1	1	4	0	1	1	0	1	1	Particular	Própria	47	17	31,80		
3-19-1	03	019	1	Casa de alvenaria	5	Rede pública	Rede pública	90	1	1	1	1	1	1	0	1	0	0	1	Particular	Própria	31	30	31,80		
3-21-1	03	021	1	Casa de alvenaria	5	Rede pública	Rede pública	NI	1	1	1	1	2	0	1	1	0	0	1	Particular	Alugada	1	0	31,80		
3-22-1	03	022	1	Casa de alvenaria	4	Rede pública	Rede pública	39	1	1	1	1	0	1	0	0	0	0	1	Particular	Alugada	3	3	31,80		
3-24-1	03	024	1	Casa de alvenaria	9	Rede pública	Rede pública	50	1	1	1	1	1	0	1	1	0	0	1	Particular	Alugada	30	3	31,80		
3-27-1	03	027	1	Casa de alvenaria	5	Rede pública	Rede pública	58	2	2	1	1	2	1	1	0	1	1	1	Particular	Própria	52	30	31,80		
3-29-1	03	029	1	Apartamento	8	Rede pública	Rede pública	50	1	2	1	1	2	1	0	0	0	0	1	Particular	Própria	18	13	31,80		
3-30-1	03	030	1	Casa de alvenaria	3	Rede pública	Rede pública	40	0	1	1	1	2	0	0	1	0	0	1	Particular	Alugada	1	0	31,80		
3-31-1	03	031	1	Casa de alvenaria	6	Rede pública	Rede pública	171	3	4	2	2	6	1	2	2	0	3	1	Particular	Alugada	6	1	31,80		
3-32-1	03	032	1	Casa de alvenaria	9	Rede pública	Rede pública	80	NI	NI	NI	NI	NI	NI	NI	NI	NI	NI	1	Particular	Própria	31	25	31,80		
3-33-1	03	033	1	Casa de alvenaria	8	Rede pública	Rede pública	100	1	1	1	1	1	1	1	1	0	1	1	Particular	Própria	25	25	31,80		
3-34-1	03	034	1	Casa de alvenaria	5	Rede pública	Rede pública	55	1	1	1	1	1	1	0	0	0	0	1	Particular	Própria	73	50	31,80		
3-35-1	03	035	1	Casa de alvenaria	6	Rede pública	Rede pública	210	1	2	1	2	3	1	1	1	0	0	1	Particular	Própria	45	45	31,80		
3-38-1	03	038	1	Casa de alvenaria	8	Rede pública	Rede pública	100	1	1	1	1	1	2	1	1	0	2	1	Particular	Própria	60	45	31,80		
3-39-1	03	039	1	Casa de alvenaria	6	Rede pública	Rede pública	14	1	2	1	1	0	1	0	0	0	0	1	Particular	Própria	32	29	31,80		
3-40-1	03	040	1	Casa de alvenaria	3	Rede pública	Rede pública	NI	1	2	1	1	3	1	2	1	1	1	1	Particular	Própria	64	30	31,80		
3-45-1	03	045	1	Casa de alvenaria	7	Rede pública	Rede pública	238	2	2	1	1	1	0	1	1	1	1	1	Particular	Própria	12	0	31,80		
3-46-1	03	046	1	Casa de alvenaria	9	Rede pública	Rede pública	100	1	1	1	1	4	1	1	1	1	1	1	Particular	Própria	43	43	31,80		
3-48-1	03	048	1	Casa de alvenaria	6	Rede pública	Rede pública	180	1	2	1	1	4	0	1	1	0	0	1	Particular	Própria	57	46	31,80		
