"","Renda","Região"
"83",1054155,"Centro"
"84",1033584,"Centro"
"85",572379,"Centro"
"86",291766,"Centro"
"87",521248,"Centro"
"88",506700,"Centro"
"89",1333528,"Centro"
"90",629730,"Centro"
"91",1935536,"Centro"
"92",2135091,"Centro"
"93",2092933,"Centro"
"94",1959277,"Centro"
"95",1316407,"Centro"
"96",1341588,"Centro"
"97",2038701,"Centro"
"98",1141402,"Centro"
"99",1099912,"Centro"
"100",1761652,"Centro"
"101",1487836,"Centro"
"102",461034,"Norte"
"103",435754,"Norte"
"104",699344,"Norte"
"105",398035,"Norte"
"106",627908,"Norte"
"107",823670,"Leste"
"108",1126295,"Leste"
"109",403013,"Leste"
"110",310622,"Leste"
"111",295900,"Leste"
"112",1219142,"Centro"
"113",1219142,"Leste"
"114",1219142,"Sudeste"
"115",836600,"Centro"
"116",836600,"Leste"
"117",379765,"Centro"
"118",1067093,"Centro"
"119",372169,"Centro"
"120",446350,"Centro"
"121",1591500,"Sudeste"
"122",646226,"Centro"
"123",646226,"Sul"
"124",646226,"Sudeste"
"125",2007814,"Centro"
"126",695109,"Centro"
"127",440054,"Centro"
"128",1597120,"Centro"
"129",1466199,"Centro"
"130",1348538,"Centro"
"131",1315149,"Centro"
"132",1888603,"Centro"
"133",1521128,"Centro"
"134",720090,"Centro"
"135",720090,"Oeste"
"136",2409218,"Centro"
"137",2409218,"Oeste"
"138",1519724,"Centro"
"139",1519724,"Oeste"
"140",290945,"Norte"
"141",471449,"Norte"
"142",0,"Norte"
"143",574626,"Norte"
"144",351412,"Norte"
"145",531905,"Norte"
"146",614962,"Norte"
"147",533752,"Norte"
"148",677613,"Norte"
"149",617866,"Norte"
"150",504829,"Norte"
"151",446582,"Norte"
"152",456116,"Norte"
"153",292723,"Norte"
"154",764312,"Centro"
"155",764312,"Leste"
"156",569491,"Centro"
"157",569491,"Leste"
"158",649350,"Leste"
"159",736602,"Leste"
"160",492734,"Leste"
"161",388351,"Leste"
"162",463128,"Leste"
"163",466881,"Leste"
"164",628476,"Leste"
"165",372305,"Leste"
"166",946445,"Leste"
"167",428955,"Leste"
"168",354263,"Leste"
"169",514888,"Leste"
"170",411896,"Leste"
"171",752836,"Leste"
"172",374738,"Centro"
"173",374738,"Leste"
"174",288510,"Centro"
"175",843502,"Sudeste"
"176",443890,"Sul"
"177",600442,"Centro"
"178",600442,"Oeste"
"179",600442,"Sul"
"180",2346250,"Centro"
"181",1130302,"Centro"
"182",1130302,"Oeste"
"183",369040,"Centro"
"184",1024313,"Centro"
"185",803505,"Centro"
"186",823414,"Centro"
"187",823414,"Oeste"
"188",1379179,"Centro"
"189",659693,"Centro"
"190",852217,"Centro"
"191",400239,"Norte"
"192",223973,"Norte"
"193",463074,"Norte"
"194",224582,"Norte"
"195",349569,"Norte"
"196",669612,"Norte"
"197",445054,"Leste"
"198",683245,"Leste"
"199",563822,"Leste"
"200",312414,"Leste"
"201",666142,"Leste"
"202",690068,"Leste"
"203",412639,"Leste"
"204",334659,"Leste"
"205",446811,"Leste"
"206",483218,"Leste"
"207",783454,"Leste"
"208",627175,"Leste"
"209",762664,"Leste"
"210",609193,"Leste"
"211",609193,"Sudeste"
"212",830663,"Leste"
"213",830663,"Sudeste"
"214",766718,"Leste"
"215",614059,"Leste"
"216",471525,"Centro"
"217",471525,"Sudeste"
"218",621200,"Centro"
"219",621200,"Sudeste"
"220",692535,"Sudeste"
"221",642808,"Sudeste"
"222",596726,"Sudeste"
"223",414968,"Sul"
"224",414968,"Sudeste"
"225",349667,"Sul"
"226",349667,"Sudeste"
"227",268461,"Sul"
"228",277280,"Sul"
"229",477639,"Sul"
"230",547765,"Sul"
"231",826430,"Sul"
"232",598746,"Oeste"
"233",598746,"Sul"
"234",782752,"Sul"
"235",1252972,"Sul"
"236",471001,"Oeste"
"237",471001,"Sul"
"238",570820,"Sul"
"239",560230,"Sul"
"240",563250,"Sul"
"241",280516,"Sul"
"242",2110096,"Oeste"
"243",1306212,"Oeste"
"244",2062824,"Oeste"
"245",1591302,"Oeste"
"246",510146,"Oeste"
"247",788702,"Oeste"
"248",1192996,"Oeste"
"249",794358,"Oeste"
"250",941513,"Oeste"
"251",1241906,"Oeste"
"252",347596,"Oeste"
"253",917062,"Oeste"
"254",1342829,"Oeste"
"255",1209616,"Oeste"
"256",1334967,"Oeste"
"257",1135175,"Oeste"
"258",1004015,"Oeste"
"259",1317502,"Oeste"
"260",1410225,"Oeste"
"261",1135088,"Oeste"
"262",1778700,"Oeste"
"263",923090,"Oeste"
"264",1222408,"Oeste"
"265",1252796,"Oeste"
"266",1307665,"Oeste"
"267",2573575,"Oeste"
"268",1251941,"Oeste"
"269",1631973,"Oeste"
"270",2008831,"Oeste"
"271",1929007,"Oeste"
"272",1593700,"Oeste"
"273",553117,"Norte"
"274",474553,"Norte"
"275",192990,"Norte"
"276",495310,"Norte"
"277",465216,"Leste"
"278",853863,"Leste"
"279",736817,"Leste"
"280",680700,"Leste"
"281",668670,"Leste"
"282",464828,"Leste"
"283",501719,"Leste"
"284",621940,"Leste"
"285",630958,"Leste"
"286",365544,"Leste"
"287",1564936,"Leste"
"288",445944,"Sudeste"
"289",319647,"Sudeste"
"290",563111,"Sudeste"
"291",366645,"Sudeste"
"292",642203,"Sudeste"
"293",619664,"Sudeste"
"294",350787,"Sul"
"295",350787,"Sudeste"
"296",260095,"Sul"
"297",260095,"Sudeste"
"298",177908,"Sul"
"299",177908,"Sudeste"
"300",124433,"Sul"
"301",124433,"Sudeste"
"302",305843,"Sul"
"303",305843,"Sudeste"
"304",517815,"Sul"
"305",448309,"Sul"
"306",406358,"Sul"
"307",389358,"Sul"
"308",420846,"Sul"
"309",434976,"Sul"
"310",427620,"Sul"
"311",422233,"Sul"
"312",397477,"Sul"
"313",299731,"Sul"
"314",462900,"Sul"
"315",841359,"Sul"
"316",867536,"Sul"
"317",492392,"Oeste"
"318",492392,"Sul"
"319",1097759,"Sul"
"320",643608,"Sul"
"321",1051007,"Sul"
"322",457176,"Sul"
"323",586088,"Sul"
"324",859110,"Oeste"
"325",859110,"Sul"
"326",270068,"Norte"
"327",455173,"Norte"
"328",461005,"Norte"
"329",523606,"Norte"
"330",681062,"Norte"
"331",502930,"Norte"
"332",550105,"Norte"
"333",428681,"Norte"
"334",647248,"Norte"
"335",1844156,"Norte"
"336",908104,"Norte"
"337",701683,"Norte"
"338",615681,"Norte"
"339",399739,"Norte"
"340",475959,"Norte"
"341",201240,"Norte"
"342",730487,"Norte"
"343",326219,"Norte"
"344",268988,"Norte"
"345",531347,"Leste"
"346",506972,"Leste"
"347",513966,"Leste"
"348",408758,"Leste"
"349",900848,"Leste"
"350",1331065,"Leste"
"351",539651,"Leste"
"352",524241,"Leste"
"353",1247530,"Leste"
"354",795239,"Leste"
"355",948123,"Leste"
"356",918774,"Leste"
"357",929199,"Leste"
"358",1796579,"Leste"
"359",888680,"Leste"
"360",794380,"Leste"
"361",687442,"Leste"
"362",682781,"Leste"
"363",682781,"Sudeste"
"364",553899,"Leste"
"365",508661,"Leste"
"366",253004,"Leste"
"367",512254,"Leste"
"368",404571,"Leste"
"369",317074,"Leste"
"370",357242,"Leste"
"371",520438,"Leste"
"372",411775,"Leste"
"373",376303,"Leste"
"374",129234,"Leste"
"375",633036,"Leste"
"376",633036,"Sudeste"
"377",768533,"Leste"
"378",834699,"Leste"
"379",834699,"Sudeste"
"380",443809,"Leste"
"381",361697,"Sudeste"
"382",531894,"Sudeste"
"383",516255,"Sudeste"
"384",527515,"Sudeste"
"385",383977,"Sudeste"
"386",788189,"Sudeste"
"387",497927,"Sudeste"
"388",962387,"Sudeste"
"389",1433179,"Sul"
"390",346020,"Sul"
"391",334461,"Sul"
"392",352098,"Sul"
"393",574158,"Sul"
"394",996545,"Sul"
"395",386407,"Sul"
"396",458025,"Sul"
"397",949482,"Sul"
"398",1075751,"Sul"
"399",720934,"Sul"
"400",515615,"Sul"
"401",751535,"Sul"
"402",831425,"Sul"
"403",413279,"Sul"
"404",549281,"Sul"
"405",868779,"Sul"
"406",1519644,"Sul"
"407",301192,"Sul"
"408",908030,"Sul"
"409",933163,"Sul"
"410",578154,"Norte"
"411",298310,"Norte"
"412",454359,"Norte"
"413",451361,"Norte"
"414",146820,"Sul"
"415",146820,"Sudeste"
"416",438601,"Sudeste"
"417",306385,"Sudeste"
"418",370632,"Sudeste"
"419",343653,"Sudeste"
"420",365711,"Sudeste"
"421",639642,"Sudeste"
"422",525491,"Sudeste"
"423",529742,"Sul"
"424",529742,"Sudeste"
"425",167705,"Sul"
"426",167705,"Sudeste"
"427",279094,"Sudeste"
"428",648651,"Sul"
"429",648651,"Sudeste"
"430",374515,"Sudeste"
"431",217055,"Sudeste"
"432",1041710,"Sul"
"433",601177,"Sul"
"434",933357,"Sul"
"435",493587,"Sul"
"436",353276,"Sul"
"437",660000,"Sul"
"438",409431,"Sul"
"439",190695,"Sul"
"440",799577,"Sul"
"441",678095,"Sul"
"442",639929,"Sul"
"443",965866,"Sul"
"444",763067,"Sul"
"445",924280,"Sul"
"446",1008582,"Sul"
"447",1197951,"Sul"
"448",1199804,"Sul"
"449",432819,"Sul"
"450",643304,"Sul"
"451",610600,"Sul"
"452",807815,"Sul"
"453",884066,"Sul"
"454",1492570,"Sul"
"455",487813,"Sul"
"456",404223,"Sul"
"457",440719,"Sul"
"458",558661,"Sul"
"459",446880,"Sul"
"460",547145,"Sul"
"461",444656,"Sul"
"462",706640,"Sul"
"463",502869,"Sul"
"464",758427,"Sul"
"465",692266,"Sul"
"466",420009,"Sul"
"467",444213,"Sul"
"468",375789,"Sul"
"469",381052,"Sul"
"470",353751,"Oeste"
"471",353751,"Sul"
"472",453838,"Sul"
"473",405638,"Oeste"
"474",361521,"Sul"
"475",220667,"Sul"
"476",372570,"Sul"
"477",542828,"Sul"
"478",366768,"Sul"
"479",579865,"Sul"
"480",384507,"Sul"
"481",812077,"Sul"
"482",239621,"Sul"
"483",759835,"Sul"
"484",775801,"Sul"
"485",453846,"Sul"
"486",442087,"Sul"
"487",553072,"Sul"
"488",474375,"Sul"
"489",764949,"Sul"
"490",624790,"Sul"
"491",838654,"Sul"
"492",572479,"Sul"
"493",529185,"Sul"
"494",801452,"Sul"
"495",544316,"Sul"
"496",581868,"Sul"
"497",769771,"Sul"
"498",718282,"Sul"
"499",995057,"Sul"
"500",660901,"Sul"
"501",1033540,"Sul"
"502",520395,"Sul"
"503",868059,"Sul"
"504",849075,"Sul"
"505",1795260,"Sul"
"506",1009416,"Sul"
"507",683936,"Sul"
"508",716196,"Sul"
"509",1007418,"Sul"
"510",571681,"Sul"
"511",512360,"Sul"
"512",699666,"Sul"
"513",474560,"Sul"
"514",618723,"Sul"
"515",373231,"Sul"
"516",525383,"Sul"
"517",360899,"Sul"
"518",672177,"Sul"
"519",493293,"Oeste"
"520",493293,"Sul"
"521",108080,"Sul"
"522",293553,"Oeste"
"523",293553,"Sul"
"524",404492,"Oeste"
"525",404492,"Sul"
"526",496857,"Oeste"
"527",496857,"Sul"
"528",640212,"Oeste"
"529",401896,"Oeste"
"530",246076,"Norte"
"531",311415,"Norte"
"532",223134,"Norte"
"533",198858,"Norte"
"534",431241,"Norte"
"535",54920,"Norte"
"536",182019,"Norte"
"537",318882,"Norte"
"538",397057,"Norte"
"539",83470,"Leste"
"540",83470,"Norte"
"541",182663,"Leste"
"542",182663,"Norte"
"543",257691,"Centro"
"544",257691,"Leste"
"545",257691,"Sudeste"
"546",262024,"Leste"
"547",356974,"Leste"
"548",245236,"Leste"
"549",326124,"Leste"
"550",326124,"Sudeste"
"551",47748,"Sudeste"
"552",230801,"Leste"
"553",230801,"Sudeste"
"554",375492,"Sudeste"
"555",947037,"Sudeste"
"556",336768,"Leste"
"557",336768,"Sudeste"
"558",378724,"Sul"
"559",378724,"Sudeste"
"560",42330,"Sul"
"561",42330,"Sudeste"
"562",541647,"Sul"
"563",685392,"Sul"
"564",274913,"Sul"
"565",289453,"Sul"
"566",286471,"Sul"
"567",477049,"Sul"
"568",431529,"Sul"
"569",706973,"Sul"
"570",301000,"Sul"
"571",874355,"Sul"
"572",509963,"Sul"
"573",393620,"Sul"
"574",327370,"Sul"
"575",349509,"Sul"
"576",350010,"Sul"
"577",217110,"Sul"
"578",310044,"Sul"
"579",297061,"Sul"
"580",369100,"Sul"
"581",472984,"Sul"
"582",330723,"Sul"
"583",560693,"Sul"
"584",587787,"Sul"
"585",504469,"Sul"
"586",307321,"Sul"
"587",302520,"Sul"
"588",738653,"Sul"
"589",799752,"Sul"
"590",411430,"Sul"
"591",524707,"Sul"
"592",318431,"Sul"
"593",432896,"Sul"
"594",263424,"Sul"
"595",430038,"Sul"
"596",446786,"Sul"
"597",476958,"Sul"
"598",214953,"Sul"
"599",315827,"Sul"
"600",363733,"Sul"
"601",350048,"Sul"
"602",386611,"Sul"
"603",309863,"Sul"
"604",452511,"Sul"
"605",124261,"Sul"
"606",427775,"Sul"
"607",450633,"Sul"
"608",325275,"Sul"
"609",189375,"Sul"
"610",461060,"Sul"
"611",476231,"Sul"
"612",359085,"Sul"
"613",516549,"Sul"
"614",545422,"Sul"
"615",288310,"Sul"
"616",509857,"Sul"
"617",1374697,"Sul"
"618",514143,"Sul"
"619",374465,"Sul"
"620",243587,"Sul"
"621",570642,"Sul"
"622",303793,"Sul"
"623",321532,"Sul"
"624",267617,"Sul"
"625",588492,"Sul"
"626",512415,"Sul"
"627",422500,"Sul"
"628",480882,"Sul"
"629",402146,"Sul"
"630",314861,"Sul"
"631",282402,"Sul"
"632",241844,"Sul"
"633",339796,"Sul"
"634",340965,"Sul"
"635",646913,"Sul"
"636",835571,"Sul"
"637",396183,"Sul"
"638",429363,"Sul"
"639",319793,"Sul"
"640",344451,"Sul"
"641",411195,"Sul"
"642",386412,"Sul"
"643",186422,"Sul"
"644",360700,"Sul"
"645",257640,"Sul"
"646",338643,"Sul"
"647",326489,"Sul"
"648",437046,"Sul"
"649",316344,"Sul"
"650",427017,"Sul"
"651",342744,"Sul"
"652",441965,"Sul"
"653",724614,"Sul"
"654",0,"Sudeste"
"655",484762,"Leste"
"656",364198,"Leste"
"657",298539,"Leste"
"658",560026,"Centro"
"659",846925,"Centro"
"660",739591,"Centro"
"661",517225,"Centro"
"662",503539,"Centro"
"663",693843,"Sudeste"
"664",687359,"Sudeste"
"665",1057830,"Centro"
"666",1057830,"Sul"
"667",1057830,"Sudeste"
"668",341623,"Sudeste"
"669",482756,"Sul"
"670",403328,"Sul"
"671",502464,"Sul"
"672",605540,"Sul"
"673",290325,"Sul"
"674",250479,"Sul"
"675",116383,"Oeste"
"676",116383,"Sul"
"677",641405,"Sul"
"678",686646,"Sul"
"679",528325,"Sul"
"680",398436,"Sul"
"681",374724,"Norte"
"682",444188,"Norte"
"683",259175,"Norte"
"684",265767,"Norte"
"685",358786,"Norte"
"686",1244465,"Oeste"
"687",2219311,"Oeste"
"688",2747292,"Oeste"
"689",2286490,"Oeste"
"690",153570,"Leste"
"691",196437,"Sul"
"692",29710,"Norte"
"693",58420,"Centro"
"694",81298,"Centro"
"695",81298,"Leste"
"696",81298,"Norte"
"697",303105,"Centro"
"698",179362,"Centro"
"699",311678,"Centro"
"700",1135145,"Centro"
"701",613998,"Centro"
"702",429427,"Centro"
"703",212187,"Centro"
"704",212187,"Norte"
"705",35196,"Norte"
"706",837232,"Norte"
"707",523994,"Norte"
"708",923312,"Norte"
"709",736063,"Norte"
"710",471234,"Centro"
"711",471234,"Norte"
"712",347374,"Centro"
"713",715550,"Centro"
"714",61000,"Centro"
"715",118714,"Norte"
"716",1560540,"Centro"
"717",536970,"Centro"
"718",604840,"Centro"
"719",604840,"Oeste"
"720",344743,"Centro"
"721",344743,"Oeste"
"722",1318751,"Centro"
"723",1730136,"Centro"
"724",1413428,"Centro"
"725",483360,"Centro"
"726",498010,"Centro"
"727",609051,"Centro"
"728",345500,"Centro"
"729",208519,"Norte"
"730",634473,"Leste"
"731",523190,"Leste"
"732",1817790,"Centro"
"733",1394590,"Centro"
"734",1935450,"Centro"
"735",2281393,"Centro"
"736",619197,"Sul"
"737",369360,"Sul"
"738",611689,"Sul"
"739",539873,"Sul"
"740",434671,"Sul"
"741",270727,"Sul"
"742",268420,"Sul"
"743",273417,"Sul"
"744",853100,"Sul"
"745",1549358,"Sul"
"746",294013,"Sul"
"747",1097070,"Sul"
"748",1000738,"Sul"
"749",798343,"Sul"
"750",565920,"Sul"
"751",880494,"Sul"
"752",497793,"Sul"
"753",528490,"Sul"
"754",560986,"Sul"
"755",1561260,"Oeste"
"756",547162,"Oeste"
"757",1222490,"Oeste"
"758",432060,"Oeste"
"759",668097,"Oeste"
"760",1166941,"Oeste"
"761",863480,"Oeste"
"762",784110,"Oeste"
"763",1631270,"Oeste"
"764",547236,"Oeste"
"765",612218,"Oeste"
"766",1604097,"Oeste"
"767",1796772,"Oeste"
"768",786240,"Oeste"
"769",2306835,"Oeste"
"770",819700,"Oeste"
"771",771990,"Oeste"
"772",792470,"Oeste"
"773",1807858,"Oeste"
"774",1742187,"Oeste"
"775",373020,"Oeste"
"776",569010,"Oeste"
"777",562386,"Oeste"
"778",605600,"Oeste"
"779",1957842,"Oeste"
"780",542125,"Oeste"
"781",839680,"Oeste"
"782",262276,"Oeste"
"783",1005365,"Oeste"
"784",1160600,"Oeste"
"785",787994,"Oeste"
"786",923233,"Oeste"
"787",1156560,"Oeste"
"788",1318996,"Oeste"
"789",1012426,"Oeste"
"790",307473,"Norte"
"791",372705,"Leste"
"792",801860,"Sul"
"793",674768,"Sul"
"794",510954,"Sul"
"795",303134,"Sul"
"796",616965,"Sul"
"797",456274,"Norte"
"798",443651,"Norte"
"799",440261,"Norte"
"800",222227,"Norte"
"801",456408,"Norte"
"802",247410,"Leste"
"803",686659,"Leste"
"804",660852,"Leste"
"805",820434,"Leste"
"806",385755,"Leste"
"807",655435,"Leste"
"808",432415,"Leste"
"809",139844,"Sudeste"
"810",1015659,"Sudeste"
"811",472842,"Sul"
"812",912438,"Sul"
"813",181350,"Sul"
"814",727123,"Sul"
"815",1026810,"Sul"
"816",698979,"Sul"
"817",222830,"Sul"
"818",952970,"Sul"
"819",534821,"Sul"
"820",106222,"Norte"
"821",438886,"Sudeste"
"822",300426,"Sudeste"
"823",299016,"Sudeste"
"824",256891,"Sudeste"
"825",161241,"Sudeste"
"826",199489,"Sudeste"
"827",302321,"Sudeste"
"828",349274,"Sudeste"
"829",491847,"Sudeste"
"830",514693,"Sudeste"
"831",302098,"Sudeste"
"832",326130,"Sul"
"833",622014,"Sul"
"834",427979,"Sul"
"835",394155,"Sul"
"836",450663,"Sul"
"837",418965,"Sul"
"838",1559635,"Sul"
"839",696680,"Sul"
"840",648846,"Sul"
"841",970061,"Sul"
"842",1357075,"Sul"
"843",1245510,"Sul"
"844",460393,"Sul"
"845",277777,"Sul"
"846",802638,"Sul"
"847",445730,"Sul"
"848",317794,"Sul"
"849",413236,"Sul"
"850",736616,"Sul"
"851",155316,"Sul"
"852",19650,"Sul"
"853",938600,"Sul"
"854",591219,"Sul"
"855",580248,"Sul"
"856",533942,"Sul"
"857",1032438,"Sul"
"858",260311,"Sul"
"859",372030,"Sul"
"860",583726,"Sul"
"861",287677,"Sul"
"862",231663,"Sul"
"863",366825,"Norte"
"864",74476,"Oeste"
"865",74476,"Norte"
"866",94276,"Norte"
"867",472755,"Norte"
"868",134737,"Norte"
"869",138440,"Norte"
"870",349124,"Norte"
"871",116667,"Norte"
"872",246862,"Leste"
"873",466626,"Leste"
"874",466626,"Sudeste"
"875",262944,"Leste"
"876",262944,"Sudeste"
"877",110145,"Leste"
"878",64812,"Leste"
"879",331201,"Sudeste"
"880",517731,"Sudeste"
"881",194196,"Sudeste"
"882",132310,"Sudeste"
"883",288322,"Sudeste"
"884",581661,"Sul"
"885",581661,"Sudeste"
"886",377711,"Sul"
"887",12350,"Sul"
"888",12350,"Sudeste"
"889",769794,"Sul"
"890",286325,"Sul"
"891",1295025,"Sul"
"892",867896,"Sul"
"893",278854,"Sul"
"894",742054,"Sul"
"895",1074099,"Sul"
"896",552550,"Sul"
"897",363521,"Sul"
"898",340874,"Sul"
"899",268721,"Sul"
"900",333901,"Sul"
"901",238508,"Sul"
"902",199499,"Sul"
"903",290548,"Sul"
"904",235105,"Sul"
"905",519240,"Sul"
"906",192982,"Sul"
"907",220167,"Sul"
"908",352385,"Sul"
"909",193494,"Sul"
"910",157409,"Sul"
"911",159181,"Sul"
"912",125146,"Sul"
"913",100069,"Sul"
"914",50896,"Sul"
"915",79783,"Sul"
"916",44061,"Sul"
"917",20410,"Sul"
"918",43055,"Sul"
"919",197664,"Sul"
"920",44438,"Sul"
"921",37920,"Sul"
"922",211019,"Sul"
"923",550129,"Sul"
"924",5700,"Centro"
"925",1471299,"Oeste"
"926",16997,"Norte"
"927",316083,"Centro"
"928",316083,"Oeste"
"929",316083,"Norte"
"930",1602708,"Oeste"
"931",2905934,"Oeste"
"932",1750448,"Oeste"
"933",2227665,"Oeste"
"934",921071,"Oeste"
"935",770510,"Oeste"
"936",526863,"Leste"
"937",313300,"Norte"
"938",217238,"Leste"
"939",265408,"Leste"
"940",277140,"Leste"
"941",888722,"Leste"
"942",180179,"Leste"
"943",180179,"Norte"
"944",454348,"Leste"
"945",551703,"Leste"
"946",203124,"Leste"
"947",401771,"Leste"
"948",689423,"Leste"
"949",943414,"Leste"
"950",854872,"Leste"
"951",1002068,"Leste"
"952",454616,"Leste"
"953",368105,"Leste"
"954",462864,"Leste"
"955",393540,"Leste"
"956",107655,"Leste"
"957",546229,"Leste"
"958",381115,"Leste"
"959",461512,"Leste"
"960",433178,"Leste"
"961",531891,"Leste"
"962",568664,"Leste"
"963",553849,"Leste"
"964",1013855,"Leste"
"965",391395,"Leste"
"966",555682,"Leste"
"967",589237,"Leste"
"968",517429,"Leste"
"969",446437,"Leste"
"970",302887,"Leste"
"971",283967,"Leste"
"972",424057,"Leste"
"973",257235,"Leste"
"974",455222,"Leste"
"975",330551,"Leste"
"976",612155,"Leste"
"977",500949,"Leste"
"978",428703,"Leste"
"979",320975,"Leste"
"980",686021,"Leste"
"981",491636,"Leste"
"982",532390,"Leste"
"983",463411,"Leste"
"984",403304,"Leste"
"985",501144,"Leste"
"986",485357,"Leste"
"987",646966,"Leste"
"988",256835,"Leste"
"989",318057,"Leste"
"990",457526,"Leste"
"991",361539,"Leste"
"992",442476,"Leste"
"993",541787,"Leste"
"994",723631,"Leste"
"995",398130,"Leste"
"996",307102,"Leste"
"997",492935,"Leste"
"998",323009,"Leste"
"999",232904,"Leste"
"1000",314479,"Leste"
"1001",383720,"Leste"
"1002",285031,"Leste"
"1003",357724,"Leste"
"1004",277431,"Leste"
"1005",480720,"Leste"
"1006",552741,"Leste"
"1007",322665,"Leste"
"1008",737879,"Leste"
"1009",545368,"Leste"
"1010",348767,"Leste"
"1011",501326,"Leste"
"1012",530184,"Leste"
"1013",188616,"Leste"
"1014",170657,"Leste"
"1015",444381,"Leste"
"1016",500406,"Leste"
"1017",297184,"Leste"
"1018",411365,"Leste"
"1019",340742,"Leste"
"1020",490009,"Leste"
"1021",867176,"Leste"
"1022",203403,"Leste"
"1023",403469,"Leste"
"1024",252207,"Leste"
"1025",256640,"Leste"
"1026",176042,"Leste"
"1027",327951,"Leste"
"1028",38370,"Leste"
"1029",167331,"Leste"
"1030",242827,"Leste"
"1031",413180,"Leste"
"1032",238444,"Leste"
"1033",170041,"Leste"
"1034",334550,"Leste"
"1035",118981,"Leste"
"1036",128056,"Leste"
"1037",371472,"Leste"
"1038",780869,"Leste"
"1039",205492,"Leste"
"1040",428381,"Leste"
"1041",303401,"Leste"
"1042",55460,"Leste"
"1043",302780,"Leste"
"1044",158381,"Leste"
"1045",200320,"Leste"
"1046",112911,"Leste"
"1047",356523,"Leste"
"1048",271941,"Leste"
"1049",295155,"Leste"
"1050",494134,"Extremo Norte"
"1051",449704,"Extremo Norte"
"1052",305950,"Extremo Norte"
